MASTER_CAMPAIGN_ID,CAMPAIGN_NAME,SUPPLIER,BRAND,CATEGORY,NPD,MEDIA_COST
"i2c1510145a","Ryvita Crispbread Trolleys","The Jordans & Ryvita Company Ltd","The Jordans & Ryvita Company Ltd Brand(s)","CANNED & PACKAGED",0,18450
"i2c1510145a","Ryvita Crispbread Trolleys","The Jordans & Ryvita Company Ltd","The Jordans & Ryvita Company Ltd Brand(s)","IMPULSE FOOD",0,18450
"i2c1508252a","Co-Sampling Kettle Chips","Kettle Foods Ltd","Kettle Chips","IMPULSE FOOD",0,18799
"i2c1508124a","C11_Unilever_PotNoodle_Sampling","Unilever UK Ltd","Pot Noodle","CANNED & PACKAGED",0,19055
"i2c1508137a","Accolade Wines - Echo Falls Fruit Fusions Sampling","Accolade Wines Ltd","Echo","BEERS, WINES & SPIRITS",0,19064
"i2c1510051a","Unilever Stork Sampling","Unilever UK Ltd","Stork","DAIRY",0,19190
"i2c1507212a","Famous Grouse Xmas Sampling","Maxxium","Famous Grouse","BEERS, WINES & SPIRITS",0,19515
"i2c1510061a","Chambord Christmas Support","Bacardi Brown Forman Brands","Chambord","BEERS, WINES & SPIRITS",0,20000
"i2c1509048a","Benecol - Lowering Cholesterol Month","Benecol Limited","Benecol","DAIRY",0,20200
"i2c1507192a","Bel - LC - Dip & Crunch","Bel UK","Bel UK Brand(s)","DAIRY",0,20262
"i2c1509144a","Scan meatballs cycle 13 sampling","HKScan UK Ltd","HKScan UK Ltd Brand(s)","MEAT, FISH & POULTRY",0,20750
"i2c1508127a","Daniels Chilled Foods Ltd","Daniels Chilled Foods Ltd","New Covent Garden Soup","MEAL SOLUTIONS",0,23000
"i2c1512022P","Pampers link up with TU","Procter & Gamble UK","Procter & Gamble UK Brand(s)","BABY & BEAUTY",0,23230
"i2c1509046a","Philadelphia Whipped sampling","Mondelez UK Limited","Philadelphia","DAIRY",0,24200
"i2c1601020a","Mondelez Milk Tray sampling feb","Mondelez UK Limited","Milk Tray","IMPULSE FOOD",0,24240
