MASTER_CAMPAIGN_ID,PRODUCT,METRIC,PP_RESULTS
"i2c1507187a","Rest of Cat","average_spend ",1356217.920000
"i2c1507187a","Rest of Cat","sales_growth  ",0.025000
"i2c1510003aG","Rest of Cat","average_spend ",11.500000
"i2c1510003aH","Aisle     ","category_share",1.000000
"i2c1510003a2","JS        ","sales_growth  ",0.009000
"i2c1510003aV","JS             ","category_share",0.069000
"i2c1510003aG","JS             ","category_share",0.027000
"i2c1508146a","Rest of Cat","average_spend ",59877.760000
"i2c1507161a","Green&blacks              ","category_share",0.085000
"i2c1509029a","Schweppes ","sales_growth  ",0.000000
"i2c1509029a","Offer     ","average_spend ",4463.620000
"i2c1507161a","JS                        ","sales_growth  ",-0.365000
"i2c1509029a","Shloer    ","sales_growth  ",-0.416000
"i2c1509029a","Appletiser","sales_growth  ",-0.095000
"i2c1507161a","Galaxy                    ","sales_growth  ",0.127000
"i2cVENUSV2","Aisle     ","sales_growth  ",0.047000
"i2c1510061a","Malibu    ","average_spend ",37039.260000
"i2cGILLEV2","Wilkinson Sword","sales_growth  ",-0.009000
"i2c1510061a","Offer     ","category_share",0.005000
"i2cBRAUNV2","PHILIPS   ","category_share",0.163000
"i2cBRAUNV2","Rest of Cat","sales_growth  ",-0.303000
"i2cFAINBV2","Aisle     ","average_spend ",2370988.680000
"i2cFLASHV2","Rest of Cat","sales_growth  ",0.004000
"i2cGILLEV2","Aisle     ","sales_growth  ",-0.023000
"i2cFAIDHDWV3","Persil     ","category_share",0.033000
"i2c1510108a","Brand            ","sales_growth  ",0.399000
"i2c1509125a","Offer     ","category_share",0.477000
"i2c1510108a","Bells            ","sales_growth  ",-0.230000
"i2c1510108a","Rest of Cat","sales_growth  ",-0.145000
"i2cFAIDHDWV3","Rest of Cat","category_share",0.086000
"i2c1510108a","JS            ","average_spend ",2158703.270000
"i2c1510108a","JS            ","sales_growth  ",-0.052000
"i2c1510013a","Haribo    ","average_spend ",213253.510000
"i2c1510003a1","Brand     ","average_spend ",95610.890000
"i2c1510003a1","Rest of Cat","sales_growth  ",-0.063000
"i2c1510054a2","Brand                         ","sales_growth  ",-0.515000
"i2cLYNX666","JS                            ","category_share",0.030000
"i2c1510020a","FilippoBerio","category_share",0.009000
"i2cLYNX666","Total APA                     ","category_share",0.332000
"i2c1509124a","Offer     ","category_share",0.004000
"i2c1601020a","Rest of Cat","category_share",0.779000
"i2c1511015a","JS              ","average_spend ",434660.480000
"i2c1511015a","Brand           ","sales_growth  ",-0.178000
"i2c1509125a2","JS              ","sales_growth  ",0.000000
"i2c1508179a","Aisle       ","sales_growth  ",-0.038000
"i2c1508179a","Offer           ","category_share",0.000000
"i2c1508186a","Rest of Cat","average_spend ",291976.770000
"i2c1508186a","Brand       ","average_spend ",205904.250000
"i2cLYNX333","JS                            ","category_share",0.030000
"i2cLYNX333","Offer                         ","sales_growth  ",0.000000
"i2c1509070a","Brand             ","category_share",0.083000
"i2c1509070a","Offer     ","category_share",0.006000
"i2c1509070a","Garnder   ","category_share",0.040000
"i2c1508186a2","Rest of Cat","category_share",0.527000
"i2c1509016a","Aisle         ","category_share",1.000000
"i2c1512022P","Brand          ","average_spend ",457157.680000
"i2c1509016a","Albert Bartlett","average_spend ",4011.560000
"i2c1510052a","Brand          ","average_spend ",114230.990000
"i2c1509116a","JS          ","sales_growth  ",-0.102000
"i2c1508223a","OXO           ","category_share",0.023000
"i2c1508169a2","Aisle     ","sales_growth  ",0.117000
"i2c1509014a","Rest of Cat","category_share",0.009000
"i2c1507141a","Aisle        ","category_share",1.000000
"i2c1508169a2","JS        ","category_share",0.342000
"i2c1508124a","Offer        ","category_share",0.003000
"i2c1508169a2","Rest of Cat","category_share",0.517000
"i2c1508124a","Brand     ","sales_growth  ",-0.072000
"i2c1509014a","JS            ","sales_growth  ",0.051000
"i2c1508124a","Rest of Cat","average_spend ",149326.020000
"i2c1508124a","Rest of Cat","sales_growth  ",-0.207000
"i2c1509069a","Offer     ","category_share",0.036000
"i2c1508127a","Rest of Cat","sales_growth  ",-0.037000
"i2c1508127a","Brand     ","average_spend ",157666.930000
"i2c1511005a","Brand     ","sales_growth  ",0.400000
"i2c1511005a","Tyrrells          ","category_share",0.009000
"i2c1509004a2","Aisle        ","average_spend ",346943.050000
"i2c1512024a","Aisle       ","average_spend ",444606.230000
"i2c1509004a2","Offer     ","category_share",0.267000
"i2c1510033a","Aisle       ","sales_growth  ",-0.049000
"i2c1511003a","Rest of Cat","sales_growth  ",-0.029000
"i2c1511003a","Aisle        ","average_spend ",2555125.910000
"i2c1511003a","Offer               ","average_spend ",108904.310000
"i2c1510116a","JS           ","average_spend ",4143.940000
"i2c1510116a","Barny        ","category_share",0.181000
"i2cFAIDADWV2","JS Ultimate   ","average_spend ",5550.200000
"i2c1509103a","Rest of Cat","sales_growth  ",-0.034000
"i2cARIALV2","JS              ","sales_growth  ",0.008000
"i2cORALBV2","Offer     ","sales_growth  ",-0.148000
"i2c1510041a","Offer     ","average_spend ",18982.870000
"i2cOLAYV2","Loreal    ","average_spend ",80675.320000
"i2c1510041a","Absolut            ","sales_growth  ",-0.121000
"i2c1509131a","Bottlegreen","average_spend ",24366.530000
"i2cFABREV2","Airwick   ","sales_growth  ",-0.285000
"i2cARIALV2","Aisle           ","sales_growth  ",0.005000
"i2cFABREV2","Offer     ","sales_growth  ",0.060000
"i2c1509103a","Aisle           ","sales_growth  ",-0.048000
"i2cOLAYV2","Offer     ","average_spend ",21690.080000
"i2cHSV4","JS              ","average_spend ",14745.670000
"i2c1512047a","Brand          ","category_share",0.080000
"i2c1512047a","Cadbury Roses  ","sales_growth  ",-0.356000
"i2cHSV4","Elvive Dandruff ","average_spend ",3424.410000
"i2cVENUSV4","Wilkinson Sword","category_share",0.183000
"i2cHSV4","Offer          ","sales_growth  ",-0.149000
"i2c1509042a","Aisle           ","category_share",1.000000
"i2c1509042a","Rest of Cat","category_share",0.000000
"i2cFLASHV4","Offer     ","category_share",0.099000
"i2cFAIFEV4","Brand       ","average_spend ",407454.350000
"i2c1507212a","Chivas Regal 70cl       ","average_spend ",41972.770000
"i2cFAIDHDWV4","Persil     ","average_spend ",14012.140000
"i2c1507212a","JS                      ","sales_growth  ",-0.144000
"i2cLENUNV4","JS                      ","sales_growth  ",0.010000
"i2cORALBV4","Brand                   ","category_share",0.211000
"i2cLENORV4","Brand       ","sales_growth  ",0.264000
"i2cLENORV4","Aisle       ","average_spend ",916827.300000
"i2cOLAYV4","Offer     ","sales_growth  ",0.012000
"i2c1509022a","NestleAzeera","average_spend ",94549.840000
"i2cARIALV4","Rest of Cat","sales_growth  ",0.037000
"i2cARIALV4","Aisle       ","sales_growth  ",0.005000
"i2cFABREV4","Offer           ","sales_growth  ",0.060000
"i2cBRAUNV4","Rest of Cat","category_share",0.548000
"i2c1510020a2","Brand          ","average_spend ",160891.880000
"i2c1509111a","Rest of Cat","category_share",0.020000
"i2cLYNX555","Total Roll-On                 ","category_share",0.066000
"ALAN_TEST","Aisle     ","sales_growth  ",-0.151000
"i2cLYNX555","Brand     ","category_share",0.176000
"i2c1509142a","Brand     ","sales_growth  ",-0.039000
"i2c1509111a","Velvet               ","average_spend ",16483.390000
"i2cLYNX555","JS                            ","category_share",0.030000
"ALAN_TEST","JS        ","category_share",0.124000
"i2c1508043a","Finn      ","average_spend ",7178.460000
"i2c1508043a","Aisle         ","average_spend ",917887.580000
"i2c1508137a","Jacobs Creek","sales_growth  ",0.067000
"i2c1508137a","McGuigan    ","average_spend ",709071.140000
"i2c1508043a","Jacobs    ","category_share",0.086000
"i2c1509067a","Ritz      ","category_share",0.004000
"i2c1508034a","Aisle               ","average_spend ",356007.500000
"i2c1509067a","Offer               ","average_spend ",23858.570000
"i2c1510007a","Offer           ","sales_growth  ",0.351000
"i2c1508107a","Brand     ","category_share",0.064000
"i2c1510008a","Rest of Cat","category_share",0.844000
"i2c1509048a","Aisle        ","category_share",1.000000
"i2c1509048a","Brand           ","average_spend ",57017.850000
"i2c1509048a","Offer           ","average_spend ",57017.850000
"i2c1509048a","Pure      ","average_spend ",24507.780000
"i2c1509010a","Offer     ","category_share",0.021000
"i2c1507151a","Offer         ","average_spend ",614689.900000
"i2c1508107a","Offer     ","average_spend ",20558.930000
"i2c1510008a","Offer     ","category_share",0.007000
"i2c1508107a","JS        ","average_spend ",129374.370000
"i2c1507151a","KP Hula Hoops ","average_spend ",82806.990000
"i2c1508252a","JS        ","category_share",0.229000
"i2c1510145a","Rest of Cat","average_spend ",1223183.490000
"i2c1510145a","Offer     ","category_share",0.001000
"i2c1510145a","Aisle     ","category_share",1.000000
"i2c1510145a","Jacobs    ","sales_growth  ",0.411000
"i2cLYNX444","Total Roll-On                 ","sales_growth  ",-0.016000
"i2cLYNX444","Total Sticks Creams and Wipes ","category_share",0.028000
"i2cNEW-TOOL","Rest of Cat","sales_growth  ",0.086000
"i2c1509144a","Sainsburys","category_share",0.053000
"i2c1511069a","JS          ","category_share",0.235000
"i2c1511069a","JS Own Label          ","category_share",0.235000
"i2c1535KE0","Brand     ","average_spend ",124943.350000
"i2c1516KC0M1","NATURE    ","category_share",0.016000
"i2c1506063aM","Brand     ","average_spend ",59990.200000
"i2c1505012aM","Rest of Cat","category_share",0.304000
"i2c1516KC0M1","Offer     ","average_spend ",53340.520000
"i2c1504028aM","Aisle     ","average_spend ",256855.250000
"i2c1504091aM","Encore    ","category_share",0.101000
"i2c1506032M2","Aisle     ","sales_growth  ",0.088000
"i2c1509002a","JS          ","category_share",0.718000
"i2c1535KE0","JS        ","category_share",0.131000
"i2c1506014aM","PAMPERS   ","category_share",0.525000
"i2c1504050aM","Aisle     ","sales_growth  ",0.106000
"i2c1507181a","JS        ","category_share",0.058000
"i2c1535KE0","Offer     ","sales_growth  ",-0.007000
"i2c1505029aM","MRKIPLING  ","category_share",0.262000
"i2c1508204a","Rest of Cat","sales_growth  ",0.314000
