MASTER_CAMPAIGN_ID,MEDIA_TYPE,EXPOSED
"i2c1510046a","Instore Sampling3",155949
"i2c1510020a2","Entrance Gates1, Trolleys1, Trolleys2",76550
"i2c1510054a","Total",305801
"i2c1509134a","Other",27659
"i2c1510033a","Six Sheets1, TV Wall1",139264
"i2c1509125a2","Six Sheets1, TV Wall1",610626
"i2c1601020a","Instore Sampling1",207906
"i2c1510047a","JS Magazine2",41791
"i2c1508034a","Other",21597
"i2c1509016a","Six Sheets1, TV Wall1",1272741
"i2c1511069a","JS Magazine1",138225
"i2c1504091aM","Total",129019
"i2c1507204a","Total",307338
"i2cFAINBV4","Total",685771
"i2c1511015a","Total",6400657
"i2c1508252a","Instore Sampling1",1698477
"i2c1508061a","JS Magazine1",253224
"i2cLENORV2","Six Sheets1, Six Sheets2",281329
"i2cORALBV4","Entrance Gates1, Six Sheets2",33217
"i2cNEW-TOOL","TV Wall1",2486818
"i2c1510020a2","Trolleys2",631190
"i2c1510020a2","Trolleys1, Trolleys2",534394
"TEST_JD","Milk Media1",290497
"i2c1516KC0M","JS Magazine",139439
"i2c1507141a","Six Sheets1",69602
"i2c1509016a","JS Magazine1",71187
"i2c1509010a","Total",252290
"i2cFABREV2","Total",1036489
"i2c1509144a","Total",430989
"i2c1510008a","Six Sheets1",1937143
"i2c1509061a","JS Magazine1, TV Wall1",75128
"i2cOLAYV4","Entrance Gates1, Six Sheets1",131903
"i2c1511003a","JS Magazine1",103897
"i2c1509125a2","JS Magazine1, Six Sheets1",11881
"i2c1508186a2","Trolleys1",1234856
"i2c1511015a","Entrance Gates1, TV Wall1, Six Sheets2",110549
"TEST_JD","JS Magazine1",189687
"i2c1507203a","Total",1517760
"i2c1507176a","Total",244368
"i2c1507076a","Total",384691
"i2cLYNX333","Total",2261358
"i2c1506063aM","Total",139439
"i2c1510041a","Total",135192
"i2cHSV4","Total",1740166
"i2c1508098a","Total",443421
"i2c1510062a","Total",85187
"i2c1510047a","Total",1646518
"i2cFAIDHDWV3","Total",2443912
"i2c1507161a","Total",3301542
"i2c1509069a","Total",273133
"i2cORALBV2","Entrance Gates1, Six Sheets1, Six Sheets2",180519
"i2c1510108a","TV Wall1",4295410
"i2c1510136a","JS Magazine1",135192
"i2c1512022P","Six Sheets1",912956
"i2cNEW-TOOL","TV Wall1, Entrance Gates1",1781597
"TEST_JD","Six Sheets2",1121063
"i2c1508223a","Total",283957
"i2cVENUSV2","Total",1336735
"i2cFAIFEV2","Total",685768
"i2c1508204a","Total",1623266
"i2c1508265a","Six Sheets1, Six Sheets2, Six Sheets3",84420
"i2c1510047a","Instore Sampling1",27515
"i2c1509125a","Other",52277
"i2c1510020a","Entrance Gates1, Trolleys2",69094
"i2cNEW-TOOL","JS Magazine1",62394
"i2cLYNX888","TV Wall1",3251099
"i2c1510006a","Total",372670
"i2c1508042a","Total",3677086
"i2cARIALV2","Total",817942
"i2c1510074a","Total",384105
"i2c1510052a","Total",638192
"i2c1506032M2","Total",139439
"i2c1510003a1","Entrance Gates1, Six Sheets1",334938
"i2c1509116a","Instore Sampling3",162545
"i2c1508257aS","JS Magazine1",220031
"i2c1511003a","Total",1763308
"i2cVENUSV4","Total",1336724
"i2c1508124a","Total",191387
"i2c1509107a3","Total",2425333
"i2c1508137a","Instore Sampling1",1670199
"i2c1507203a","Instore Sampling1",69915
"i2cARIALV4","Six Sheets1",308931
"i2c1509125a2","TV Wall1",3333822
"i2c1509106a2","Six Sheets1",31781
"i2c1507209a","Instore Sampling1",511914
"i2c1508127a","JS Magazine1",170581
"i2c1509107a2","Six Sheets1, Six Sheets2",99724
"i2c1512022P","Six Sheets1, TV Wall1",419671
"i2c1510145a","Trolleys1",1123761
"i2c1510020a","Entrance Gates1, Trolleys1",139646
"i2cFABREV4","Total",1036486
