MASTER_CAMPAIGN_ID,MEDIA_TYPE,OBJ_PRIORITY,OBJECTIVE,METRIC,PRODUCT,TIMEPERIOD,EXPOSED,CONTROL,UPLIFT,PCT_UPLIFT
"i2c1509061a","Entrance Gates1, JS Magazine1, TV Wall1",0,"Overview","Known_spend    ","Offer     ",3,6884.730000,6012.015954,872.714046,0.145162
"i2c1510020a","JS Magazine1, Trolleys1",0,"Overview","Known_spend    ","Offer                ",3,4449.210000,4249.633882,199.576118,0.046963
"i2c1510020a","Trolleys1, Trolleys2",0,"Overview","Known_spend    ","Brand                ",3,81931.220000,73407.156828,8524.063172,0.116120
"i2c1510020a","JS Magazine2, JS Magazine3",0,"Overview","Known_spend    ","Brand                ",3,4960.860000,4496.755433,464.104567,0.103209
"i2c1510020a","JS Magazine1",0,"Overview","Known_spend    ","Brand                ",3,12049.720000,11358.636505,691.083495,0.060842
"i2c1509010a","Total",0,"Overview","Known_spend    ","Offer     ",3,2607.080000,2448.773557,158.306443,0.064647
"i2c1506028a","CAT & Other                        ",0,"Overview","Known_spend    ","Brand      ",3,59169.290000,63063.099512,-3893.809512,-0.061745
"i2c1509010a","Instore Sampling1",0,"Overview","Units          ","Offer     ",2,1071.000000,556.596087,514.403913,0.924196
"i2c1507212a","Other",1,"Grow total units","Units          ","Brand         ",2,2000.000000,1467.977895,532.022105,0.362418
"i2cFLASHV4","Total",3,"Grow share of category","SOW            ","Offer         ",2,0.092191,0.092747,-0.000555,-0.005984
"i2cFABREV4","Total",1,"Acquire new customers","New_custs      ","Brand     ",3,674.000000,637.041258,36.958742,0.058016
"i2cFABREV4","Total",2,"Retain existing customers","Existing_custs ","Brand     ",3,3220.000000,3102.820405,117.179595,0.037766
"i2cFABREV4","Total",3,"Grow share of category","SOW            ","Brand     ",2,0.150235,0.148583,0.001652,0.011121
"i2cORALBV4","Total",1,"Grow total units","Units          ","Offer     ",3,22963.000000,20708.426436,2254.573564,0.108872
"i2cORALBV4","Six Sheets1",3,"Retain lapsing customers","Lapsed_custs   ","Offer     ",2,312.000000,292.036421,19.963579,0.068360
"i2cORALBV4","Entrance Gates1, Six Sheets2",4,"Grow share of category","SOW            ","Brand     ",2,0.255436,0.237401,0.018035,0.075969
"i2cORALBV4","Total",4,"Grow share of category","SOW            ","Offer     ",3,0.120851,0.113341,0.007510,0.066258
"i2cFAIFEV2","Total",1,"Acquire new customers","New_custs      ","Offer     ",2,822.000000,832.207595,-10.207595,-0.012266
"i2cFAIDHDWV4","Total",3,"Grow total category","Known_spend    ","Aisle          ",3,784102.910000,776406.347187,7696.562813,0.009913
"i2c1509103a","Total",2,"Grow spend per existing customer","SPEC           ","Offer     ",3,6.644852,6.805588,-0.160736,-0.023618
"i2c1509103a","Instore Sampling1",2,"Grow spend per existing customer","SPEC           ","Offer     ",2,4.064697,3.979654,0.085043,0.021369
"i2c1509131a","Instore Sampling1, Instore Sampling1",1,"Launch new product","New_custs      ","Offer     ",2,1686.000000,998.049320,687.950680,0.689295
"i2c1509131a","Instore Sampling1, Instore Sampling1",2,"Acquire new customers","New_custs      ","Offer     ",2,1686.000000,998.049320,687.950680,0.689295
"i2cARIALV2","Six Sheets1",3,"Grow share of category","SOW            ","Offer     ",2,0.180235,0.180516,-0.000281,-0.001556
"i2c1510033a","Six Sheets1",2,"Retain lapsing customers","Lapsed_custs   ","Brand     ",3,4076.000000,3963.253348,112.746652,0.028448
"i2cOLAYV2","Total",3,"Grow share of category","SOW            ","Offer     ",2,0.065934,0.060034,0.005900,0.098280
"i2cFAIDHDWV2","Six Sheets1, Six Sheets2",3,"Grow total category","Known_spend    ","Aisle      ",2,122875.640000,116576.464096,6299.175904,0.054035
"i2cORALBV2","Entrance Gates1",3,"Retain lapsing customers","Lapsed_custs   ","Brand     ",2,2244.000000,2158.108105,85.891895,0.039800
"i2cORALBV2","Six Sheets1, Six Sheets2",4,"Grow share of category","SOW            ","Brand     ",2,0.240069,0.233092,0.006977,0.029933
"i2cORALBV2","Six Sheets1",0,"Overview","Known_spend    ","Offer     ",2,94964.740000,77757.152019,17207.587981,0.221299
"i2cFABREV4","Total",0,"Overview","Units          ","Brand     ",3,32025.000000,30407.181104,1617.818896,0.053205
"i2cFABREV4","Six Sheets2",0,"Overview","Units          ","Brand     ",3,10689.000000,10333.526235,355.473765,0.034400
"i2cFLASHV4","Total",0,"Overview","Known_spend    ","Offer         ",2,54623.710000,52181.000356,2442.709644,0.046812
"i2c1509103a","Other",0,"Overview","Known_spend    ","Brand     ",3,7156.710000,6877.680389,279.029611,0.040570
"i2cFAIDADWV4","Six Sheets1, Six Sheets2",0,"Overview","Units          ","Offer     ",2,4967.000000,4552.217356,414.782644,0.091117
"i2cFLASHV4","Total",0,"Overview","Units          ","Offer         ",2,36788.000000,34676.701115,2111.298885,0.060885
"i2cLENUNV4","Six Sheets1",0,"Overview","Known_spend    ","Offer     ",2,7764.990000,7488.717559,276.272441,0.036892
"i2cFAIFEV4","Six Sheets1",0,"Overview","Units          ","Offer     ",3,17412.000000,17091.664454,320.335546,0.018742
"i2cFAIFEV2","Total",0,"Overview","Units          ","Offer     ",2,3163.000000,3122.195590,40.804410,0.013069
"i2cOLAYV2","Total",0,"Overview","Units          ","Offer     ",2,3390.000000,2836.889394,553.110606,0.194971
"i2c1510033a","TV Wall2",0,"Overview","Known_spend    ","Offer     ",3,82405.580000,81646.697474,758.882526,0.009295
