MASTER_CAMPAIGN_ID,PERIOD,PERIOD_DATE
"i2c1510062a",2,2015-11-26
"i2c1510062a",3,2015-11-27
"i2c1510062a",4,2015-12-18
"i2c1510062a",5,2015-12-19
"i2c1510062a",6,2016-01-29
"i2c1510008a",1,2015-07-26
"i2c1510008a",2,2015-10-17
"i2c1510008a",3,2015-10-18
"i2c1510008a",4,2015-10-31
"i2c1510008a",5,2015-11-01
"i2c1510008a",6,2015-12-12
"i2c1508107a",1,2015-07-07
"i2c1508107a",2,2015-09-28
"i2c1508107a",3,2015-09-29
"i2c1508107a",4,2015-10-27
"i2c1508107a",5,2015-10-28
"i2c1508107a",6,2015-12-08
"i2c1507156a",1,2015-06-24
"i2c1507156a",2,2015-09-15
"i2c1507156a",3,2015-09-16
"i2c1507156a",4,2015-10-27
"i2c1507156a",5,2015-10-28
"i2c1507156a",6,2015-12-08
"i2c15FAIFE",1,2015-10-26
"i2c15FAIFE",2,2016-01-17
"i2c15FAIFE",3,2016-01-18
"i2c15FAIFE",4,2016-02-02
"i2c1509016a",1,2015-08-04
"i2c1509016a",2,2015-10-26
"i2c1509016a",3,2015-10-27
"i2c1509016a",4,2015-12-08
"i2c1509016a",5,2015-12-09
"i2c1509016a",6,2016-01-19
"i2c1508250a",1,2015-07-13
"i2c1508250a",2,2015-10-04
"i2c1508250a",3,2015-10-05
"i2c1508250a",4,2015-10-18
"i2c1508250a",5,2015-10-19
"i2c1508250a",6,2015-11-29
"ALAN_TEST",1,2015-08-04
"ALAN_TEST",2,2015-10-26
"ALAN_TEST",3,2015-10-27
"ALAN_TEST",4,2015-12-01
"ALAN_TEST",5,2015-12-02
"ALAN_TEST",6,2016-01-12
"i2c1508124a",1,2015-07-23
"i2c1508124a",2,2015-10-14
"i2c1508124a",3,2015-10-15
"i2c1508124a",4,2015-10-15
"i2c1508124a",5,2015-10-16
"i2c1508124a",6,2015-11-26
"i2c1508252a",1,2015-07-16
"i2c1508252a",2,2015-10-07
"i2c1508252a",3,2015-10-08
"i2c1508252a",4,2015-10-13
"i2c1508252a",5,2015-10-14
"i2c1508252a",6,2015-11-24
"i2c1508118a",1,2015-08-24
"i2c1508118a",2,2015-11-15
"i2c1508118a",3,2015-11-16
"i2c1508118a",4,2015-11-29
"i2c1508118a",5,2015-11-30
"i2c1508118a",6,2016-01-10
"i2c1504021aM",1,2015-01-13
"i2c1504021aM",2,2015-04-06
"i2c1504021aM",3,2015-04-07
"i2c1504021aM",4,2015-05-05
"i2c1504021aM",5,2015-05-06
