MASTER_CAMPAIGN_ID,SKU_NAME
"i2c1505029aM","BONNE MAMAN LEMON & POPPY SEED CAKES175G"
"i2c1505029aM","BONNE MAMAN LEMON TARTLETS 125G"
"i2c1505029aM","BONNE MAMAN MADELEINES 175G"
"i2c1505074aM","HEINZ CHICKEN CUP SOUP 68G"
"i2c1505074aM","HEINZ TOMATO CUP SOUP 88G"
"i2c1505074aM","HEINZ VEGETABLE DRY CUP SOUP 76G"
"i2c1506014aM","HUGGIES PULL UPS BOY MEDIUM X14"
"i2c1506014aM","HUGGIES PULL UPS GIRL MEDIUM X14"
"i2c1506032M1","LOTUS ORIGINAL CARAMELISED BISCUITS 250G"
"i2c1506032M1","LOTUS ORIGINAL CARAMELISED BISCUITS X25"
"i2c1506032M2","LOTUS BISCOFF CRUNCHY SPREAD 380G"
"i2c1506032M2","LOTUS BISCOFF SMOOTH SPREAD 400G"
"i2c1506058aM","POLIGRIP FLV FREE DENT FIXATIVE CRM 40G"
"i2c1506063aM","KELLYS CLOTTED CREAM & HONEYCOMB 1L"
"i2c1506063aM","KELLYS CORNISH CLOTTED ICE CREAM 1L"
"i2c1506063aM","KELLYS SALTED CARAMEL 1L"
"i2c1507030a","SHARWOODS MELTS CHOW MEIN 96G"
"i2c1507030a","SHARWOODS MELTS SPICY SZECHUAN 96G"
"i2c1507030a","SHARWOODS MELTS SWEET & SOUR 96G"
"i2c1507030a","SHARWOODS MELTS SWEET CHILLI 96G"
"i2c1507074aM","LAUGHING DOG GRAIN FREE CHICKEN 1.5KG"
"i2c1507074aM","LAUGHING DOG GRAIN FREE DUCK 1.5KG"
"i2c1507074aM","LAUGHING DOG GRAIN FREE FISH TREAT 200G"
"i2c1507074aM","LAUGHING DOG W/FREE CHEESY OATIES 250G"
"i2c1507074aM","LAUGHING DOG WHEAT FREE CHICKEN 2KG"
"i2c1507074aM","LAUGHING DOG WHEAT FREE LAMB 2KG"
"i2c1507076a","BADOIT ROUGE 1L"
"i2c1507076a","BADOIT SPARKLING MINERAL WATER 1L"
"i2c1507095a","PALMOLIVE A MOMENTS GLAMOROUS SHW 250ML"
"i2c1507095a","PALMOLIVE A MOMENTS MASSAGE SHOWER 250ML"
"i2c1507095a","PALMOLIVE A MOMENTS RELAXED SHOWER 250ML"
"i2c1507095a","PALMOLIVE A MOMENTS SO DYNAMIC SHW 250ML"
"i2c1507141a","ACTIVIA 0% RED FRUITS YOGURT 8X125G"
"i2c1507141a","ACTIVIA 0% STRAWB/RASP MIX YOGS 8X125G"
"i2c1507141a","ACTIVIA 0% YELLOW FRUITS YOGURT 8X125G"
"i2c1507141a","ACTIVIA GARDEN FRUITS YOGURTS 8X125G"
"i2c1507141a","ACTIVIA RED FRUITS YOGURT 8X125G"
"i2c1507141a","ACTIVIA YELLOW FRUITS YOGURT 8X125G"
"i2c1507141a","DANONE ACTIVIA CHERRY & BERRY 8X125G"
"i2c1507151a","WALKERS BBQ/LAMB/CHEESE VARIETY 6PK"
"i2c1507151a","WALKERS BEEF/MARMITE/CHEESE VARIETY 6PK"
"i2c1507151a","WALKERS CHEESE & ONION CRISPS 12 X 25G"
"i2c1507151a","WALKERS CHEESE &ONION XTRA FILL 6PK 195G"
"i2c1507151a","WALKERS CHEESE AND ONION CRISPS 6 X 25G"
